Time_Index,NG,None,coal,uranium
394,2.03,0.00,2.47,0.70
395,2.03,0.00,2.47,0.70
396,2.03,0.00,2.47,0.70
397,2.03,0.00,2.47,0.70
398,2.03,0.00,2.47,0.70
399,2.03,0.00,2.47,0.70
400,2.03,0.00,2.47,0.70
401,2.03,0.00,2.47,0.70
402,2.03,0.00,2.47,0.70
403,2.03,0.00,2.47,0.70
404,2.03,0.00,2.47,0.70
405,2.03,0.00,2.47,0.70
406,2.03,0.00,2.47,0.70
407,2.03,0.00,2.47,0.70
408,2.03,0.00,2.47,0.70
409,2.03,0.00,2.47,0.70
410,2.03,0.00,2.47,0.70
411,2.03,0.00,2.47,0.70
412,2.03,0.00,2.47,0.70
413,2.03,0.00,2.47,0.70
414,2.03,0.00,2.47,0.70
415,2.03,0.00,2.47,0.70
416,2.03,0.00,2.47,0.70
417,2.03,0.00,2.47,0.70
418,2.03,0.00,2.47,0.70
419,2.03,0.00,2.47,0.70
420,2.03,0.00,2.47,0.70
421,2.03,0.00,2.47,0.70
422,2.03,0.00,2.47,0.70
423,2.03,0.00,2.47,0.70
424,2.03,0.00,2.47,0.70
425,2.03,0.00,2.47,0.70
426,2.03,0.00,2.47,0.70
427,2.03,0.00,2.47,0.70
428,2.03,0.00,2.47,0.70
429,2.03,0.00,2.47,0.70
430,2.03,0.00,2.47,0.70
431,2.03,0.00,2.47,0.70
432,2.03,0.00,2.47,0.70
433,2.03,0.00,2.47,0.70
434,2.03,0.00,2.47,0.70
435,2.03,0.00,2.47,0.70
436,2.03,0.00,2.47,0.70
437,2.03,0.00,2.47,0.70
438,2.03,0.00,2.47,0.70
439,2.03,0.00,2.47,0.70
440,2.03,0.00,2.47,0.70
441,2.03,0.00,2.47,0.70
442,2.03,0.00,2.47,0.70
443,2.03,0.00,2.47,0.70
444,2.03,0.00,2.47,0.70
445,2.03,0.00,2.47,0.70
446,2.03,0.00,2.47,0.70
447,2.03,0.00,2.47,0.70
448,2.03,0.00,2.47,0.70
449,2.03,0.00,2.47,0.70
450,2.03,0.00,2.47,0.70
451,2.03,0.00,2.47,0.70
452,2.03,0.00,2.47,0.70
453,2.03,0.00,2.47,0.70
454,2.03,0.00,2.47,0.70
455,2.03,0.00,2.47,0.70
456,2.03,0.00,2.47,0.70
457,2.03,0.00,2.47,0.70
458,2.03,0.00,2.47,0.70
459,2.03,0.00,2.47,0.70
460,2.03,0.00,2.47,0.70
461,2.03,0.00,2.47,0.70
462,2.03,0.00,2.47,0.70
463,2.03,0.00,2.47,0.70
464,2.03,0.00,2.47,0.70
465,2.03,0.00,2.47,0.70
466,2.03,0.00,2.47,0.70
467,2.03,0.00,2.47,0.70
468,2.03,0.00,2.47,0.70
469,2.03,0.00,2.47,0.70
470,2.03,0.00,2.47,0.70
471,2.03,0.00,2.47,0.70
472,2.03,0.00,2.47,0.70
473,2.03,0.00,2.47,0.70
474,2.03,0.00,2.47,0.70
475,2.03,0.00,2.47,0.70
476,2.03,0.00,2.47,0.70
477,2.03,0.00,2.47,0.70
478,2.03,0.00,2.47,0.70
479,2.03,0.00,2.47,0.70
480,2.03,0.00,2.47,0.70
481,2.03,0.00,2.47,0.70
482,2.03,0.00,2.47,0.70
483,2.03,0.00,2.47,0.70
484,2.03,0.00,2.47,0.70
485,2.03,0.00,2.47,0.70
486,2.03,0.00,2.47,0.70
487,2.03,0.00,2.47,0.70
488,2.03,0.00,2.47,0.70
489,2.03,0.00,2.47,0.70
490,2.03,0.00,2.47,0.70
491,2.03,0.00,2.47,0.70
492,2.03,0.00,2.47,0.70
493,2.03,0.00,2.47,0.70
